event_id,T0_utc,source_families_attempted,query_pattern,accepted_pre_T0_fields,result,reason
US_CPI_2021-01-13,2021-01-13T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-01-13 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-02-10,2021-02-10T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-02-10 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-03-10,2021-03-10T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-03-10 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-04-13,2021-04-13T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-04-13 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-05-12,2021-05-12T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-05-12 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-06-10,2021-06-10T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-06-10 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-07-13,2021-07-13T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-07-13 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-08-11,2021-08-11T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-08-11 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-09-14,2021-09-14T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-09-14 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-10-13,2021-10-13T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-10-13 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
