provider,product_or_dataset,public_documentation,identity_fields,consensus_fields,pre_T0_timestamp,timezone,versioning_or_immutability,2021_2024_plausible,reproducible_retrieval,access_observed,classification,blocking_reason
Trading Economics,Economic Calendar API,https://docs.tradingeconomics.com/economic_calendar/point-in-time/,CalendarId|Date|Country|Category|Event|Reference,Forecast|TEForecast,NO_EXPLICIT_FORECAST_PUBLICATION_TIMESTAMP,Date documented as UTC; forecast timestamp absent,"Documentation claims original values before revisions; no forecast-vintage selector or forecast-publication field demonstrated",YES,Authenticated API,No API credential present; subscription required,NOT_POINT_IN_TIME_SAFE,"Historical Forecast plus LastUpdate does not prove Forecast was public before T0; LastUpdate is most recent event update/insertion"
Reuters / LSEG,Workspace/Eikon economic calendar and Reuters polls,https://www.lseg.com/en/data-analytics/products/workspace,Commercial descriptions only,Reuters poll values described commercially,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,LIKELY,Licensed terminal/API,No legitimate Workspace/Eikon entitlement present,DOCUMENTATION_INSUFFICIENT,"No public schema/test demonstrated field-level pre-T0 snapshot timestamps and all CPI/NFP subfields"
Refinitiv historical economic-calendar datasets,LSEG historical calendar data,https://developers.lseg.com/,Product family exists; exact dataset schema not publicly resolved,NOT_DEMONSTRATED,NOT_DEMONSTRATED,NOT_DEMONSTRATED,NOT_DEMONSTRATED,LIKELY,Licensed data/API,No credential or entitlement present,DOCUMENTATION_INSUFFICIENT,"Could not demonstrate a vintage-aware forecast record distinct from the post-release calendar row"
Bloomberg,Bloomberg Terminal / enterprise economic calendar,https://www.bloomberg.com/professional/products/bloomberg-terminal/,Commercial product descriptions only,Consensus is visible in terminal workflows but schema not proven here,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,LIKELY,Licensed terminal/API,No Bloomberg terminal/API present,DOCUMENTATION_INSUFFICIENT,"No public technical evidence for historical forecast publication timestamp/version and complete AHE coverage"
FactSet,FactSet economic consensus/calendar,https://developer.factset.com/,Event/schema evidence not located publicly for this use,Consensus references exist in publications,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,LIKELY,Licensed API/workstation,No FactSet entitlement present,DOCUMENTATION_INSUFFICIENT,"No auditable schema or target-event retrieval demonstrated"
Dow Jones / Factiva,Factiva archive and Snapshots API,https://developer.dowjones.com/documents/factiva_integration-factiva_analytics-endpoints-snapshots,Article identity and archive query metadata,Values only when explicitly stated in an article,YES_FOR_ARTICLE_PUBLICATION_TIME,Publication metadata timezone resolvable,Archived licensed publication content,YES,Licensed API/search,No Factiva credentials present,PARTIALLY_CAPABLE,"Can audit a pre-release article but cannot guarantee all required CPI/NFP fields or a single survey methodology"
Econoday,Institutional economic calendar/data feed,https://www.econoday.com/,Commercial calendar coverage,Consensus likely,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,LIKELY,Licensed feed,No Econoday access present,DOCUMENTATION_INSUFFICIENT,"Public material did not expose vintage schema or forecast publication timestamp"
Haver Analytics,Haver databases,https://www.haver.com/,Macroeconomic series metadata,Release consensus coverage not demonstrated,NOT_PUBLICLY_DEMONSTRATED,NOT_PUBLICLY_DEMONSTRATED,Revision features not tied to consensus record,LIKELY,Licensed DLX/API,No Haver access present,DOCUMENTATION_INSUFFICIENT,"Actual-series history is not proof of market-consensus vintage"
Macrobond,Macrobond data plus third-party Consensus Economics,https://www.macrobond.com/offerings,Series identity,Third-party macro forecast series possible,POINT_IN_TIME_REVISION_HISTORY_ADVERTISED,Not demonstrated for target records,Revision history advertised,YES,Licensed application/API,No Macrobond entitlement present,PARTIALLY_CAPABLE,"Point-in-time series capability is documented but target release consensus and NFP subfield coverage are not"
Consensus Economics,Survey publications/data,https://www.consensuseconomics.com/,Survey/country/indicator identity,Consensus macro forecasts,Publication-dated surveys,Publication metadata,Issue archive model,YES,Subscription/download,No subscription present,NOT_FIELD_COMPLETE,"Product focuses periodic macro outlook surveys; no demonstration of release-specific payroll/unemployment/AHE consensus"
