source,class,role,fields,coverage,frequency,timestamp,timezone,actual,forecast_consensus,previous,revisions,overwrite_risk,point_in_time_provenance,free_access,limits,stability,terms_license,automation,risk_notes
BLS archived release,AUTHORITATIVE,actual_and_revision,"CPI headline/core; payrolls; unemployment; earnings; prior payroll revisions",2021-2024,monthly,"embargo date/time in release",America/New_York,yes,no,yes,yes,low,yes,yes,"Akamai/rate blocking possible",high,"US government terms; verify site notices",medium,"archive can note later reissue; capture raw bytes and errata"
BLS archived schedule,AUTHORITATIVE,event_clock,"scheduled CPI and Employment Situation T0",2021-2024,monthly,"date and 08:30 ET",America/New_York,no,no,no,no,low,yes,yes,"site access controls",high,"US government terms",high,"schedule is not proof of exceptional actual publication delay"
ALFRED,USABLE_WITH_CONTROLS,vintage_validator,"published vintages for relevant actual series",broad,daily_vintage,"vintage/realtime dates",date_only,yes,no,yes,yes,low,yes,"web free; API key registration normally required","API limits apply",high,"FRED terms apply",high,"usually loaded within one business day; not release-instant proof; transformations may differ from release rounding"
Reuters pre-release poll/article,USABLE_WITH_CONTROLS,primary_consensus,"explicit fields stated in each article",event_dependent,event_driven,"article publication timestamp",publisher_timestamp,possible,yes,yes,sometimes,medium,"yes only when timestamp and intact article/mirror preserved",often_public,"robots/paywall/availability vary",medium,"Reuters copyright and terms; store metadata/hash and minimal excerpt",medium,"coverage and field completeness vary; post-release article alone fails pre-release proof"
Institutional pre-release research PDF,USABLE_WITH_CONTROLS,consensus_or_validator,"explicit forecast table fields",event_dependent,weekly_or_event,"document date/time or trusted pre-T0 archive capture",publisher_timezone_or_explicit,possible,yes,yes,sometimes,medium,"yes if publication time is defensible and raw PDF hashed",often_public,"no guaranteed archive/API",medium,"publisher terms; research redistribution restrictions may apply",medium,"date-only same-day documents fail; estimates may be house forecast not market consensus"
Wayback Machine,USABLE_WITH_CONTROLS,archive_timestamp,"captured public page payload",capture_dependent,irregular,"archive capture timestamp",UTC,as_captured,as_captured,as_captured,as_captured,low,"yes if capture precedes T0 and payload is complete",yes,"availability and robots exclusions",medium,"Internet Archive terms plus origin terms",medium,"capture after T0 cannot establish pre-T0 public value"
Nasdaq Reuters mirror,SECONDARY_VALIDATION_ONLY,independent_mirror,"syndicated Reuters values",event_dependent,event_driven,"page publication timestamp",publisher_timezone,possible,possible,possible,possible,medium,conditional,yes,"page churn",medium,"Nasdaq/Reuters terms",medium,"mirror may truncate fields or change metadata"
Yahoo Finance Reuters mirror,SECONDARY_VALIDATION_ONLY,independent_mirror,"syndicated Reuters values",event_dependent,event_driven,"page publication timestamp",publisher_timezone,possible,possible,possible,possible,medium,conditional,yes,"page churn/consent",medium,"Yahoo/Reuters terms",medium,"not independent survey if same Reuters wire"
MarketWatch,SECONDARY_VALIDATION_ONLY,consensus_validator,"selected preview forecasts and release reporting",event_dependent,event_driven,"article timestamp",publisher_timezone,possible,possible,possible,possible,medium,conditional,limited,"paywall/robots",medium,"publisher terms",low,"survey provider may be FactSet; field definitions must be explicit"
AP public archive,SECONDARY_VALIDATION_ONLY,actual_validator,"selected actual/consensus reporting",event_dependent,event_driven,"article timestamp",publisher_timezone,yes,sometimes,yes,sometimes,medium,conditional,limited,"archive access varies",medium,"AP terms",low,"usually post-release; cannot alone prove pre-release consensus"
Investing.com calendar,DISCOVERY_ONLY,candidate_locator,"actual forecast previous",broad,event_driven,"displayed calendar time",user_locale,yes,yes,yes,sometimes,high,no,public_ui,"anti-bot/API commercial",medium,"terms restrict automated extraction; review required",low,"historical rows may be updated; no immutable snapshot provenance"
Forex Factory calendar,DISCOVERY_ONLY,candidate_locator,"actual forecast previous/revised display",broad,event_driven,"displayed calendar time",user_configurable,yes,yes,yes,sometimes,high,no,public_ui,"no authoritative free API",medium,"site terms apply",low,"timezone configurable and historical mutation not independently receipted"
Trading Economics public calendar,DISCOVERY_ONLY,candidate_locator,"actual forecast previous",broad,event_driven,"calendar timestamp",configurable,yes,yes,yes,sometimes,high,no,"limited sample/guest access","historical/API access and rate limits depend on plan",medium,"commercial terms",high_with_paid_api,"current historical response is not proof of pre-T0 snapshot"
Econoday public mirrors,DISCOVERY_ONLY,candidate_locator,"selected consensus/preview fields",event_dependent,event_driven,"page/document timestamp",publisher_timezone,possible,possible,possible,possible,medium,conditional,variable,"coverage inconsistent",medium,"publisher/mirror terms",low,"original survey methodology and immutable history not consistently public"
CME FedWatch,REJECTED,not_applicable,"policy-rate probabilities",not_CPI_NFP_consensus,intraday,"market-data timestamp",US_time,no,no,no,no,medium,yes_for_its_own_metric,public_ui,"methodology/data licensing",high,"CME terms",medium,"different construct; cannot substitute for CPI/NFP economist consensus"
FRED current series,REJECTED,current_actual_series,"current CPI/payroll/unemployment/earnings",broad,monthly,"observation/retrieval dates",date_only,yes,no,yes,current_vintage,high,no_for_first_release,yes_or_api_key,"API limits",high,"FRED terms",high,"current values can contain revisions and do not preserve release clock"
GitHub datasets,DISCOVERY_ONLY,lead_generation,"varies",varies,varies,"commit timestamp",UTC,possible,possible,possible,possible,high,conditional,yes,"repository availability",low,"repository-specific license",high,"commit date does not prove original public availability; provenance chain required"
Kaggle datasets,DISCOVERY_ONLY,lead_generation,"varies",varies,varies,"dataset version timestamp",UTC,possible,possible,possible,possible,high,conditional,yes,"account/API limits may apply",low,"dataset-specific license",medium,"secondary compilation; never authority without upstream receipts"
Premium Bloomberg/Reuters survey feed,USABLE_WITH_CONTROLS,premium_reference,"survey medians and contributor detail",likely_complete,event_driven,"vendor timestamp",vendor_timezone,yes,yes,yes,yes,low,yes,no,"paid license/API",high,"commercial license",high,"scientifically strongest candidate but not purchased or accessed in this mission"
