candidate_id,candidate_name,family,repo_location,branch_if_any,scientific_status,duplication_status,primary_source,backup_source,historical_start,historical_end,resolution,timestamp_quality,timezone_quality,raw_data_available,free_access,credentials_required,bulk_download,api_available,raw_preservation,hashable,revision_risk,survivorship_risk,lookahead_risk,source_mutation_risk,single_source_dependency,point_in_time_capability,discovery_oos_holdout_feasible,source_complexity,blocking_reason,status,smallest_authorized_next_step
"NEWS-SHOCK-LAB-V0.3","Macro surprise direction","MACRO_EVENT","research/news_shock_v03_macro_consensus_source_gate","news-shock-v03-source-blocked-closeout","FORMALLY_CLOSED_SOURCE_BLOCKED","DISTINCT","BLS actuals; unavailable pre-T0 consensus","None demonstrated","2021-01-01","2024-12-31","release event","HIGH for actual; FAILED for consensus","HIGH for BLS T0","PARTIAL","PARTIAL","Institutional entitlement would be required but is not authorized","YES for BLS","PARTIAL","YES for BLS","YES","HIGH consensus revision risk","LOW","CRITICAL","HIGH","YES for actual; unresolved for consensus","NO for consensus","NO","HIGH","No field-complete auditable pre-T0 consensus route","SOURCE_BLOCKED","Do not act unless marker reopen condition is satisfied on the same two events"
"SCL-FAMILY","Scalping TV and aggTrades lineage","MICRO_TREND","archive registries and scalping branches","archive/crypto-closed-labs-2026-09-13","TERMINAL_CLOSED","ECONOMICALLY_EQUIVALENT","Binance candles and aggTrades","None needed","historical","closed window","minute/trade","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","LOW","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Scientific closeout and conflicts preserved","SCIENTIFICALLY_CLOSED","Preserve closeout; no new timeframe or transport clone"
"PATTERN-LAB-V1","Pattern mining lineage","PATTERN","archive registries","archive/crypto-closed-labs-2026-09-13","TERMINAL_CLOSED","NEAR_DUPLICATE","Binance public archives","None needed","historical","closed window","bar","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","MEDIUM","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Scientific closeout exists","SCIENTIFICALLY_CLOSED","Preserve negative evidence"
"H180-0001","First-180-seconds hourly microstructure","MICRO","archive and H180 authorities","main","TERMINAL_CLOSED","DISTINCT","Binance USD-M 1m public archives","Binance API","2022-01-01","2025 boundary as frozen","1 minute","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","LOW","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Exact hypothesis already adjudicated","SCIENTIFICALLY_CLOSED","Do not reopen or import its holdout"
"EMA-STRUCTURE-MULTIHORIZON-001","EMA geometry and crossover","TREND","research/ema_structure_multihorizon","ema-structure-multihorizon-v0.1","DISCOVERY_CLOSED_NO_SURVIVOR","DISTINCT","Binance Data Vision Spot","Binance REST","2021-01-01","2022-12-31","30m to 3d derived bars","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","LOW","LOW","LOW","YES","ALREADY_CONSUMED","LOW","No robust survivor under frozen family","SCIENTIFICALLY_CLOSED","No horizon or EMA-pair rescue"
"CLASSIC-INDICATORS-FAMILY","ADX BB VWAP PBR indicator variants","TREND_MR","classic indicator and tf-gap branches","classic-indicators-gap-lab-v0.1","CLOSED_OR_SUPERSEDED_VARIANTS","NEAR_DUPLICATE","Binance public candles","MEXC public candles","various","various","bar","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","MEDIUM","LOW","LOW","YES","NO_NEW_INFORMATION_SET","LOW","Candle-derived reparameterizations already covered","DUPLICATE","Reject rebranding; require a new causal information source"
"GEOMETRIC-TRENDLINE-001","Geometric trendline","TREND","branch-only candidate","geometric-trendline-v0.1","IDEA_OR_PREPARED","NEAR_DUPLICATE","Exchange candles","None","not frozen","not frozen","bar","HIGH if acquired","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","MEDIUM","LOW","LOW","YES","NO_NEW_INFORMATION_SET","LOW","Same price-trend information as saturated family","DUPLICATE","Do not initiate"
"FUNDING-CASH-CARRY-001","Funding cash and carry","CARRY","labs/FUNDING_CASH_CARRY_001","funding-cash-carry-v0.1","DISCOVERY_FAIL_NO_PROMOTION","DISTINCT","Binance spot/perpetual archives","Binance REST","frozen historical","frozen historical","funding interval and bars","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Exact MVE terminal","SCIENTIFICALLY_CLOSED","No cost threshold or hold rescue"
"QUARTERLY-BASIS-CONVERGENCE-001","Quarterly futures basis convergence","CARRY_RV","research/quarterly_basis_convergence_001","quarterly-basis-convergence-v0.1","DATA_FAILURE_NO_VERDICT","DISTINCT","Binance delivery futures and Spot archives","Binance REST","frozen by protocol","2024-12-31","bar and contract lifecycle","MEDIUM","UTC","PARTIAL","YES","NO","YES","YES","YES","YES","MEDIUM","LOW","MEDIUM","MEDIUM","MEDIUM","PARTIAL","POSSIBLE_AFTER_REPAIR","MEDIUM","Missing market bars and contract lifecycle continuity","DATA_FRAGILE","Run source-only lifecycle and missing-bar reconciliation; no outcomes"
"CROSS-VENUE-FUNDING-BASIS","Cross-venue funding and basis","CARRY_RV","crypto_edge_radar/protected_research_registry_v1.json","cross-venue-funding-basis-provenance-v0.5","PROVENANCE_RECOVERY_BLOCKED_NOT_NO_EDGE","DISTINCT","Hyperliquid historical replica commands","Venue public APIs","frozen historical","2024-12-31","event and funding interval","HIGH if acquired","UTC","NO in current environment","CONDITIONAL","Authorized cloud credentials and requester-pays approval","YES","YES","YES if authorized","YES","LOW","LOW","MEDIUM","MEDIUM","HIGH","YES in principle","NO CURRENTLY","HIGH","Separate credentials and cost authority absent","SOURCE_BLOCKED","Wait for explicit requester-pays and credential authority"
"BINANCE-PREMIUM-COMPRESSION","Binance premium compression","CARRY_RV","research/binance_premium_compression","binance-premium-compression-v0.1","DATA_FAILURE_NO_VERDICT","ECONOMICALLY_EQUIVALENT","Cross-venue exchange prices","Other venue API","frozen","frozen","bar","MEDIUM","UTC","PARTIAL","YES","NO","PARTIAL","YES","PARTIAL","YES","MEDIUM","LOW","MEDIUM","MEDIUM","HIGH","PARTIAL","NO_NEW_INFORMATION_SET","MEDIUM","Generic venue-premium variant overlaps carry and price-discovery work","DUPLICATE","Do not repair unless a materially new causal constraint is frozen"
"CRYPTO-ILLIQUIDITY-PREMIUM-001","Cross-sectional illiquidity premium","RV","labs/CRYPTO_ILLIQUIDITY_PREMIUM_001","crypto-illiquidity-premium-v0.1","DISCOVERY_FAIL_NO_PROMOTION","DISTINCT","Binance USD-M daily klines","Binance REST","2021-01-01","2025-12-31 as authorized lineage","daily","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","HIGH","LOW","LOW","LOW","YES","ALREADY_CONSUMED","LOW","Exact MVE closed","SCIENTIFICALLY_CLOSED","No universe window or rebalance rescue"
"CIRV-001","Crypto intraweek realized volatility","RV_VOL","labs/CRYPTO_INTRAWEEK_RV_001","crypto-intraweek-rv-forward-v0.1","FORWARD_ACTIVE_FROZEN","DISTINCT","Binance official daily archives","Independent Spot replication archives","frozen discovery and validation","PROSPECTIVE_ONLY","daily","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW for BTC ETH","LOW","LOW","LOW","YES","YES under existing freeze","LOW","Already in forward workflow; not a new mine","DATA_READY_WITH_CONTROLS","Continue only the existing prospective boundary and receipts"
"CROSS-ASSET-VOL-STRESS-001","Cross-asset volatility stress","VOL","labs/CROSS_ASSET_VOL_STRESS_001","cross-asset-vol-stress-v0.1","DISCOVERY_FAIL_NO_PROMOTION","DISTINCT","Official settlement series and Binance archives","None needed","frozen","frozen","daily","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES","ALREADY_CONSUMED","LOW","Canonical Discovery closeout exists","SCIENTIFICALLY_CLOSED","Preserve closeout"
